Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein families	Subcellular location [CC]	Pfam	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A0R3TTP7	unreviewed	A0A0R3TTP7_RODNA	SUN domain-containing protein	HNAJ_LOCUS11090	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	515	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3U0G4	unreviewed	A0A0R3U0G4_RODNA	Amiloride-sensitive sodium channel	HNAJ_LOCUS13587	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	459	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3U2C4	unreviewed	A0A0R3U2C4_MESCO	Amiloride-sensitive sodium channel	MCOS_LOCUS598	Mesocestoides corti (Flatworm)	578	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3U510	unreviewed	A0A0R3U510_MESCO	Neuronal acetylcholine receptor subunit alpha-10	MCOS_LOCUS1772	Mesocestoides corti (Flatworm)	572		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3U5T0	unreviewed	A0A0R3U5T0_MESCO	Acetylcholine receptor subunit beta-type unc-29	MCOS_LOCUS2092	Mesocestoides corti (Flatworm)	689	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3U6B1	unreviewed	A0A0R3U6B1_MESCO	Neur_chan_LBD domain-containing protein	MCOS_LOCUS2301	Mesocestoides corti (Flatworm)	530	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3U6I6	unreviewed	A0A0R3U6I6_MESCO	ATP receptor (Purinergic receptor)	MCOS_LOCUS2392	Mesocestoides corti (Flatworm)	446	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
A0A0R3VSP1	unreviewed	A0A0R3VSP1_TAEAS	Amiloride-sensitive sodium channel	TASK_LOCUS194	Taenia asiatica (Asian tapeworm)	631	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3VSY2	unreviewed	A0A0R3VSY2_TAEAS	Glycine receptor subunit alphaZ1	TASK_LOCUS309	Taenia asiatica (Asian tapeworm)	974	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3VTE2	unreviewed	A0A0R3VTE2_TAEAS	Amiloride-sensitive sodium channel	TASK_LOCUS500	Taenia asiatica (Asian tapeworm)	554	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3VVV1	unreviewed	A0A0R3VVV1_TAEAS	Neur_chan_LBD domain-containing protein	TASK_LOCUS1537	Taenia asiatica (Asian tapeworm)	632	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3VWQ1	unreviewed	A0A0R3VWQ1_TAEAS	Glutamate-gated chloride channel	TASK_LOCUS1846	Taenia asiatica (Asian tapeworm)	644	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3W0S0	unreviewed	A0A0R3W0S0_TAEAS	Amiloride-sensitive sodium channel	TASK_LOCUS3278	Taenia asiatica (Asian tapeworm)	988	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3W3Y5	unreviewed	A0A0R3W3Y5_TAEAS	Neuronal acetylcholine receptor subunit beta-4	TASK_LOCUS4683	Taenia asiatica (Asian tapeworm)	440	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3W4V6	unreviewed	A0A0R3W4V6_TAEAS	Neur_chan_LBD domain-containing protein	TASK_LOCUS5110	Taenia asiatica (Asian tapeworm)	638	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3W512	unreviewed	A0A0R3W512_TAEAS	ATP receptor (Purinergic receptor)	TASK_LOCUS5180	Taenia asiatica (Asian tapeworm)	425	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
A0A0R3W5S0	unreviewed	A0A0R3W5S0_TAEAS	Amiloride-sensitive sodium channel	TASK_LOCUS5486	Taenia asiatica (Asian tapeworm)	608	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3W5X7	unreviewed	A0A0R3W5X7_TAEAS	Nicotinic acetylcholine receptor alpha 4 subunit		Taenia asiatica (Asian tapeworm)	409	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3W6P3	unreviewed	A0A0R3W6P3_TAEAS	Glycine receptor subunit alpha-2	TASK_LOCUS5887	Taenia asiatica (Asian tapeworm)	498	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3W8N7	unreviewed	A0A0R3W8N7_TAEAS	ATP receptor (Purinergic receptor)	TASK_LOCUS6741	Taenia asiatica (Asian tapeworm)	405	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005887; GO:0033198; GO:0098794
A0A0R3W907	unreviewed	A0A0R3W907_TAEAS	Amiloride-sensitive sodium channel	TASK_LOCUS6893	Taenia asiatica (Asian tapeworm)	577	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3W9B0	unreviewed	A0A0R3W9B0_TAEAS	Glycine receptor subunit alpha-2	TASK_LOCUS7023	Taenia asiatica (Asian tapeworm)	531	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3WD47	unreviewed	A0A0R3WD47_TAEAS	Amiloride-sensitive sodium channel	TASK_LOCUS8674	Taenia asiatica (Asian tapeworm)	859	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3WJX5	unreviewed	A0A0R3WJX5_HYDTA	"Cholinergic receptor, nicotinic, beta 1 (muscle) like"		Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	403	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3WLG6	unreviewed	A0A0R3WLG6_HYDTA	Neur_chan_LBD domain-containing protein	TTAC_LOCUS1591	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	322	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3WMI5	unreviewed	A0A0R3WMI5_HYDTA	Neur_chan_LBD domain-containing protein	TTAC_LOCUS1960	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	647	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3WN07	unreviewed	A0A0R3WN07_HYDTA	Amiloride-sensitive sodium channel	TTAC_LOCUS2132	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	578	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3WNC9	unreviewed	A0A0R3WNC9_HYDTA	ATP receptor (Purinergic receptor)	TTAC_LOCUS2254	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	410	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005887; GO:0033198; GO:0098794
A0A0R3WQG9	unreviewed	A0A0R3WQG9_HYDTA	Neur_chan_LBD domain-containing protein	TTAC_LOCUS2994	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	311	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3WRT2	unreviewed	A0A0R3WRT2_HYDTA	Acetylcholine receptor subunit alpha-type acr-16	TTAC_LOCUS3456	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	405	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A0R3WT39	unreviewed	A0A0R3WT39_HYDTA	Glycine receptor subunit alpha-2	TTAC_LOCUS3914	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	518	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3WUJ9	unreviewed	A0A0R3WUJ9_HYDTA	Nicotinic acetylcholine receptor beta 3 subunit	TTAC_LOCUS4424	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	350	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3WUP2	unreviewed	A0A0R3WUP2_HYDTA	Degenerin del-1	TTAC_LOCUS4466	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	347	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3WW33	unreviewed	A0A0R3WW33_HYDTA	ATP receptor (Purinergic receptor)	TTAC_LOCUS4958	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	373	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005887; GO:0033198; GO:0098794
A0A0R3WZB0	unreviewed	A0A0R3WZB0_HYDTA	Acetylcholine receptor subunit beta-type unc-29	TTAC_LOCUS6102	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	658	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
A0A0R3WZG9	unreviewed	A0A0R3WZG9_HYDTA	Amiloride-sensitive sodium channel	TTAC_LOCUS6174	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	895	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3X1V7	unreviewed	A0A0R3X1V7_HYDTA	Glycine receptor subunit alpha-2	TTAC_LOCUS7207	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	531	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
A0A0R3X243	unreviewed	A0A0R3X243_HYDTA	Neur_chan_LBD domain-containing protein	TTAC_LOCUS7318	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	618	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
